Id,airline_sentiment,airline,text,retweet_count,user_timezone
1450,negative,American,@AmericanAir thanks for the response. I know it's not your fault... But Im in ORD in T5 and hungry if you want to stop by ✈️✌️,0,
7983,positive,US Airways,"@USAirways I'm enjoying my flights so far! You're doing a great job. Today's been tough, so thanks for making my flights comfortable.",0,London
6479,positive,United,Hey @united you've upgraded me on a 10 hour International flight. I forgive you :-) thank you!,0,Amsterdam
2478,negative,United,"@united ""where we trick you into making us look popular on Twitter by being the worst airline"" #wellplayed #jokesonus",1,
6366,positive,United,@united it was delivered! Thank you for making sure it arrived at my doorstep!,0,
1514,negative,American,@AmericanAir 6 hours to get backs back after being sat on a plane for 4 hours to have flight Cancelled Flightled with only one small drink,0,London
7352,positive,Delta,@JetBlue Happy Anniversary!! It's hard to believe you're 15!! You're so young!,0,
1451,negative,United,@united thanks ^mr i got rebooked already but I lost my first class seat. Such is life.,0,Eastern Time (US & Canada)
2020,negative,US Airways,@USAirways still waiting #brokenpromises #notnice #neveragain #tellyourstory,0,Eastern Time (US & Canada)
7195,positive,Southwest,"@SouthwestAir just added #passbook support to their iOS application! Finally, I get to add them to my collection. http://t.co/lEdNoCdQee",0,Central Time (US & Canada)
7468,positive,Delta,“@JetBlue: @2littlebirds Beautiful shot.. Thanks for sharing. Using #FlyFi to post? ;)” Your welcome! Not on this flight. It was a quickie;),0,Pacific Time (US & Canada)
838,negative,United,@united ROC flight Cancelled Flightled. Love my snowy drive home with no useful substitutes,0,Eastern Time (US & Canada)
8391,positive,American,"@AmericanAir LTALJX, from DCA to OMA this morning. All of the staff that helped me fix my problem were so helpful. #goodthingscome #thanks",0,Eastern Time (US & Canada)
6343,positive,United,@united traveling with @MegZezzo who is injured. Gate agent in Chicago was awesome helping her. TY #roadwarrior,0,Central Time (US & Canada)
8177,positive,American,@AmericanAir Aww Thanks AA..DFW was on GMA up here this AM..so i understand ..Btw A.A is my Airline when im able to trv..Love you guys.:),0,Central Time (US & Canada)
6742,positive,United,"@united New Apple crâpe, amazing! Live from UA1207. Really nice crew too.  #AmericanAir has biscuits, UA needs them 2 http://t.co/gZ9GqDT7Jj",0,Eastern Time (US & Canada)
6576,positive,United,@united  Great customer service again. Thanks!,0,
450,negative,Delta,"@JetBlue shout out to the crew on flight 89 headed back to the big apple, they kept my glass half full the whole flight! #jetbluejfk",0,Arizona
1714,negative,United,@united thanks for your attention. I would actually like to make a specific complaint about customer service at DCA. What is my best option?,0,Eastern Time (US & Canada)
339,negative,Delta,@JetBlue I understand why ur doing it. But for someone who just traveled 2+ hours to get here early. Relax b4 flight etc. Adv notice maybe??,0,
6562,positive,United,@united awesome new plane flight 1701,0,Eastern Time (US & Canada)
1419,negative,US Airways,@USAirways great job communicating to the passengers! Flight 1855 doesn't exist anymore? http://t.co/hLZaHXkdSn,0,
34,negative,US Airways,"@USAirways can't seem to find the pilots for our 6pm flight, never seen anything like it before #drunkpilots http://t.co/Zira2z3UDc",2,Eastern Time (US & Canada)
6503,positive,United,"@united thank you! Good service, safe flight... 1/2 way home!",0,
2543,negative,American,@AmericanAir on top of that my online record was unavailable as well and then couldn't get anyone on the phone.,0,Eastern Time (US & Canada)
1410,negative,United,"@united Too Late Flight, damage has been done. Easily the worst airline experience of my life. Missed two connecting flights &amp; days of work. #UA49",0,Central Time (US & Canada)
2629,negative,United,@united possibly the worst airlineGave them three chances Second time in 2 weeks a flight has been delayed and or Cancelled Flightled due to mechanics,0,Eastern Time (US & Canada)
7698,positive,Delta,@JetBlue I was so excited when I saw that you fly there! #ionlyflyblue,0,Eastern Time (US & Canada)
